,Total Services commissioned,Anticoagulant Monitoring Service,Care Home Service,Disease Specific Medicines Management Service,Gluten Free Food Supply Service,Home Delivery Service,Independent Prescribing Service,Language Access Service,MedicationReviewService,Medicines Assessment and Compliance Support Service,Minor Ailment Scheme,Needle and Syringe Exchange Service,On Demand Availability of Specialist Drugs Services,Out of Hours Service,PatientGroupDirectionService,Prescriber Support Service,Schools Service,Screening Service,Stop Smoking Service,Supervised Administration Service,Supplementary Prescribing Service
totalservices,"5,996",33,14,0,182,0,2,0,417,290,"1,863",29,380,391,"1,890",111,0,0,165,229,0
North of England,875,0,4,0,65,0,0,0,124,120,280,0,127,27,17,111,0,0,0,0,0
"Cheshire, Warrington and Wirral Area Team",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cumbria, Northumberland, Tyne and Wear Area Team",335,0,0,0,65,0,0,0,124,0,0,0,23,12,0,111,0,0,0,0,0
"Durham, Darlington and Tees Area Team",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greater Manchester Area Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lancashire Area Team,23,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
Merseyside Area Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Yorkshire and Humber Area Team,320,0,0,0,0,0,0,0,0,115,165,0,25,15,0,0,0,0,0,0,0
South Yorkshire and Bassetlaw Area Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Yorkshire Area Team,197,0,4,0,0,0,0,0,0,5,92,0,79,0,17,0,0,0,0,0,0
Midlands and East of England,"1,915",0,10,0,117,0,0,0,293,4,589,29,174,79,226,0,0,0,165,229,0
"Arden, Herefordshire and Worcestershire Area Team",138,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0
Birmingham and The Black Country Area Team,232,0,10,0,0,0,0,0,0,4,192,0,26,0,0,0,0,0,0,0,0
Derbyshire and Nottinghamshire Area Team,363,0,0,0,0,0,0,0,0,0,155,0,146,62,0,0,0,0,0,0,0
East Anglia Area Team,245,0,0,0,0,0,0,0,0,0,0,0,2,17,226,0,0,0,0,0,0
Essex Area Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hertfordshire and the South Midlands Area Team,117,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicestershire and Lincolnshire Area Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shropshire and Staffordshire Area Team,820,0,0,0,0,0,0,0,293,0,104,29,0,0,0,0,0,0,165,229,0
London,"2,419",0,0,0,0,0,0,0,0,166,821,0,56,146,"1,230",0,0,0,0,0,0
London Area Team,"2,419",0,0,0,0,0,0,0,0,166,821,0,56,146,"1,230",0,0,0,0,0,0
South of England,787,33,0,0,0,0,2,0,0,0,173,0,23,139,417,0,0,0,0,0,0
"Bath, Gloucestershire, Swindon and Wiltshire Area Team",84,0,0,0,0,0,2,0,0,0,0,0,0,82,0,0,0,0,0,0,0
"Bristol, North Somerset, Somerset and South Gloucestershire Area Team",155,0,0,0,0,0,0,0,0,0,132,0,23,0,0,0,0,0,0,0,0
"Devon, Cornwall and Isles of Scilly Area Team",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent and Medway Area Team,74,33,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
Surrey and Sussex Area Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thames Valley Area Team,263,0,0,0,0,0,0,0,0,0,0,0,0,18,245,0,0,0,0,0,0
Wessex Area Team,211,0,0,0,0,0,0,0,0,0,0,0,0,39,172,0,0,0,0,0,0
