RegionName,home_2016-01,home_2016-02,home_2016-03,home_2016-04,home_2016-05,home_2016-06,home_2016-07,home_2016-08,home_2016-09,home_2016-10,home_2016-11,home_2016-12
Los Angeles,535400,538700,542900,546600,549500,552300,554800,556700,558700,562600,567500,571100
San Diego,535300,537400,538500,539600,541400,544700,548500,551700,553900,556300,559600,563500
Orange,691100,694300,697000,699600,702100,705300,707300,707900,708300,710900,714400,717900
Riverside,322400,323500,324900,327100,329400,332900,336100,337600,338600,340300,341000,341700
San Bernardino,283000,284900,286900,289100,291200,293600,295800,297100,298400,300600,303100,305200
Santa Clara,1028300,1040300,1054400,1064300,1066100,1063800,1060600,1061300,1065900,1071500,1074800,1079000
Alameda,775700,781000,785100,785700,784900,785100,787300,792600,799600,804300,806900,810300
Sacramento,301600,303200,304600,306100,308200,310900,313000,315100,317300,319600,322300,324900
Contra Costa,552900,555600,557900,561100,564500,566500,568600,572100,577200,582800,587200,590900
Fresno,203100,204300,205700,207400,209500,211200,212200,213500,215100,216500,217800,219500
Kern,182900,183400,184600,185700,186400,187200,187900,188300,188700,189300,190100,190900
Ventura,559300,561600,565100,567900,568900,568700,569500,572500,576100,578000,579000,580900
San Francisco,1139100,1151300,1157500,1151100,1141900,1136200,1134100,1133700,1131700,1131300,1143000,1162600
San Mateo,1172100,1186800,1196600,1201400,1204200,1202700,1202700,1205800,1211100,1213800,1213400,1215000
San Joaquin,278500,280500,283700,287100,289900,292100,293900,296100,298400,300700,302900,304100
Stanislaus,243000,244400,246000,247900,251100,254000,255200,256200,257600,258700,260400,262800
Sonoma,551500,555800,562100,567400,570500,573900,577800,580900,584200,588400,593000,595300
Tulare,172000,173200,173900,174500,175300,176200,177700,178900,179800,181100,182700,183700
Santa Barbara,596300,596500,596500,598700,602700,604900,605100,606000,609600,612000,611300,609000
Monterey,454300,455700,457100,460100,464500,469600,475400,482400,488400,492500,496000,500500
Solano,353800,356800,359500,361700,363700,366700,370900,375900,380000,383500,387300,390500
Placer,419600,420900,424100,426500,428000,429400,430700,431500,433000,435100,437300,441000
San Luis Obispo,550200,554200,557800,559400,561200,563400,565800,568100,570700,574000,578000,581400
Santa Cruz,724300,734100,746700,755700,757100,754100,748700,746000,747700,750500,752900,755600
Merced,197900,198700,200700,203000,205400,208100,210600,213000,215900,218000,219300,220800
Marin,1071700,1084600,1094400,1101300,1104300,1101400,1101600,1113500,1132500,1147400,1154200,1157700
Butte,240900,243300,245400,247400,248900,249400,249900,251100,252800,254700,257000,259800
Yolo,376700,378400,379100,379500,380400,383700,388600,393700,396200,396800,397600,401000
El Dorado,385000,387100,388300,391300,395000,398900,402700,406300,407500,407900,408900,410900
Shasta,216100,217400,218400,219400,220300,221500,223500,225300,226200,227000,228400,230600
Imperial,170700,173900,176300,177500,179300,181500,182900,184300,186200,187100,186700,187400
Kings,168900,170300,171400,172700,173800,174900,176100,176800,177200,177600,177700,178300
Madera,196400,197500,198400,199900,202200,204600,206500,208400,210000,211600,213300,215900
Napa,559700,564900,570200,574900,578800,582900,584800,585100,586500,588300,590200,593600
Humboldt,256100,257800,260700,264900,268400,270800,273600,276900,279400,280800,282200,283200
Nevada,383400,385800,386700,386700,387800,390200,392800,395400,399300,403600,407000,411000
Sutter,235800,236500,238300,239200,238400,237300,237800,240200,242900,245500,248400,251600
Mendocino,339900,343300,347000,350500,353700,356000,357100,357800,359800,362000,363900,365100
Yuba,204600,206300,208400,211600,215600,218900,222000,225200,227800,229300,231000,233100
Tehama,160700,161200,162500,164200,165800,166700,167000,168300,170700,173200,175200,175300
San Benito,476100,477100,474000,471900,474000,477300,479100,481300,483900,487200,491100,495900
Calaveras,256100,255800,257600,259100,259800,260600,261900,263100,264800,267400,269900,271500
Siskiyou,147400,149200,153000,155700,157800,162300,168900,176800,183100,186500,190100,192500
Amador,263600,262900,263400,264500,265600,266300,267300,268300,269100,269500,270300,270000
Lassen,136700,139800,143000,146600,149100,150800,152700,155200,157500,158200,158400,158700
Colusa,187000,189400,194000,199800,204000,207000,208600,210200,209900,205900,202000,203200
Plumas,205800,208300,210800,212500,212700,211900,211400,212600,215300,216700,216000,215100
Inyo,284900,286000,286100,286600,288600,292000,294400,295200,295100,295500,296600,296400
Mariposa,228900,229000,228600,231600,236300,237400,235300,234800,235400,236600,238500,241500
