RegionName,AvgHV_1996,AvgHV_1997,AvgHV_1998,AvgHV_1999,AvgHV_2000,AvgHV_2001,AvgHV_2002,AvgHV_2003,AvgHV_2004,AvgHV_2005,AvgHV_2006,AvgHV_2007,AvgHV_2008,AvgHV_2009,AvgHV_2010,AvgHV_2011,AvgHV_2012,AvgHV_2013,AvgHV_2014,AvgHV_2015,AvgHV_2016
Los Angeles,127177.7778,167141.6667,178925,194841.6667,216475,239816.6667,275983.3333,335208.3333,425200,515175,571041.6667,557200,464658.3333,396875,404883.3333,382508.3333,379591.6667,435908.3333,483783.3333,515091.6667,553066.6667
San Diego,137588.8889,181416.6667,199400,223308.3333,254666.6667,292100,338216.6667,403750,509541.6667,573675,574000,537475,459350,401791.6667,403033.3333,382025,388766.6667,449608.3333,488533.3333,517908.3333,547533.3333
Orange,169444.4444,227516.6667,191933.3333,282333.3333,313216.6667,352283.3333,399591.6667,474658.3333,604233.3333,699066.6667,754725,717283.3333,625208.3333,558266.6667,540591.6667,510300,512608.3333,592091.6667,643908.3333,672183.3333,704675
Riverside,98177.77778,131116.6667,140666.6667,151216.6667,167733.3333,186016.6667,211766.6667,253116.6667,328600,395000,430608.3333,403933.3333,318041.6667,232150,217658.3333,207500,212991.6667,256516.6667,294850,312466.6667,332958.3333
San Bernardino,80844.44444,106600,111858.3333,118650,128558.3333,142300,160325,191075,254050,329433.3333,381066.6667,361525,283633.3333,205675,185233.3333,176608.3333,179883.3333,215366.6667,251858.3333,271008.3333,294075
Santa Clara,214422.2222,306683.3333,352525,391583.3333,505625,552166.6667,549133.3333,562883.3333,630500,740483.3333,783883.3333,796816.6667,731308.3333,652758.3333,660508.3333,630341.6667,664758.3333,773141.6667,853366.6667,969125,1060858.333
Alameda,159122.2222,218300,243441.6667,275416.6667,353691.6667,405075,418916.6667,456441.6667,527583.3333,634258.3333,661841.6667,647141.6667,559683.3333,496558.3333,495933.3333,459250,472483.3333,577383.3333,647775,730500,791541.6667
Sacramento,96011.11111,126041.6667,131875,140266.6667,156666.6667,182950,211508.3333,251183.3333,308441.6667,376400,379633.3333,340558.3333,272908.3333,230158.3333,208433.3333,186300,187408.3333,234800,265825,285000,312233.3333
Contra Costa,152166.6667,201808.3333,219741.6667,248316.6667,295466.6667,345150,376166.6667,421425,493700,605425,630658.3333,591225,483716.6667,401483.3333,381283.3333,344966.6667,342366.6667,418175,479383.3333,524683.3333,569775
Fresno,76022.22222,97116.66667,97075,99358.33333,105991.6667,115466.6667,131083.3333,158150,202941.6667,263466.6667,292233.3333,263450,217141.6667,180216.6667,160833.3333,145491.6667,143116.6667,162508.3333,185416.6667,197808.3333,211316.6667
Kern,67233.33333,86491.66667,86750,89041.66667,93316.66667,99691.66667,109741.6667,128508.3333,164166.6667,229791.6667,270550,248200,194858.3333,154600,137266.6667,124175,127641.6667,148133.3333,166916.6667,178200,187116.6667
Ventura,155422.2222,200608.3333,218150,240508.3333,269133.3333,297500,342691.6667,420075,522100,618250,658408.3333,607483.3333,509450,458825,444175,415350,414083.3333,465725,512850,540283.3333,570625
San Francisco,207155.5556,289241.6667,324858.3333,356533.3333,451383.3333,481208.3333,542691.6667,584950,678150,781508.3333,790041.6667,823891.6667,776391.6667,703275,721458.3333,681841.6667,696466.6667,814091.6667,938408.3333,1075000,1142791.667
San Mateo,233577.7778,325025,362666.6667,403158.3333,508775,549558.3333,566925,599866.6667,701525,802350,838041.6667,843650,780750,707141.6667,710775,684741.6667,706500,830041.6667,928300,1081433.333,1202133.333
San Joaquin,96588.88889,126508.3333,132525,141183.3333,160758.3333,196391.6667,214941.6667,244258.3333,293733.3333,379241.6667,406383.3333,353525,258716.6667,189875,168333.3333,157858.3333,158916.6667,195883.3333,239866.6667,264983.3333,292325
Stanislaus,84311.11111,109225,112258.3333,119233.3333,133508.3333,161866.6667,183191.6667,213466.6667,256916.6667,331691.6667,356525,310283.3333,228541.6667,162566.6667,148541.6667,138450,139108.3333,164800,206233.3333,229925,253108.3333
Sonoma,149444.4444,198200,215033.3333,245633.3333,302575,353600,377416.6667,424825,497975,585508.3333,604141.6667,559141.6667,461658.3333,421008.3333,399658.3333,361041.6667,361308.3333,424683.3333,479491.6667,530650,575066.6667
Tulare,72588.88889,90775,76375,95566.66667,103000,104550,107158.3333,121050,150500,206966.6667,237491.6667,220741.6667,187100,159533.3333,137650,123325,122416.6667,137175,152925,165458.3333,177416.6667
Santa Barbara,161633.3333,215208.3333,195591.6667,263708.3333,309975,369283.3333,427641.6667,498925,616833.3333,711283.3333,701900,652075,560650,503933.3333,472550,447583.3333,416750,476116.6667,528058.3333,564766.6667,604050
Monterey,147611.1111,190200,168191.6667,228275,285208.3333,343975,369058.3333,417725,521350,650291.6667,690333.3333,633425,477133.3333,349958.3333,323525,303075,302016.6667,347758.3333,411166.6667,435508.3333,474708.3333
Solano,110900,144283.3333,150416.6667,166175,196366.6667,241541.6667,265950,312375,373216.6667,450591.6667,479608.3333,437675,333050,266991.6667,230300,206891.6667,205933.3333,250483.3333,305700,339033.3333,370858.3333
Placer,130188.8889,173275,188816.6667,201550,236025,274141.6667,303083.3333,343583.3333,408550,490050,493000,447400,387100,341450,311533.3333,292275,294850,345008.3333,387400,408575,429758.3333
San Luis Obispo,138166.6667,183933.3333,162850,222525,256991.6667,308641.6667,352683.3333,420475,505450,591341.6667,624741.6667,585183.3333,526566.6667,463416.6667,432750,398275,402425,450800,496916.6667,528400,565350
Santa Cruz,171533.3333,237591.6667,227908.3333,314116.6667,381883.3333,447950,487308.3333,528625,607950,721550,745016.6667,707308.3333,599608.3333,563850,536975,512625,512325,584208.3333,644491.6667,693916.6667,747783.3333
Merced,70888.88889,93858.33333,81950,102666.6667,119675,140083.3333,161850,188141.6667,229150,309983.3333,337758.3333,278850,207166.6667,145691.6667,113341.6667,111350,113091.6667,137516.6667,168633.3333,189525,209283.3333
Marin,273900,371775,349275,480758.3333,583783.3333,653483.3333,682033.3333,718658.3333,807558.3333,907625,953100,932975,893966.6667,791966.6667,776691.6667,727975,750991.6667,836808.3333,900841.6667,1005508.333,1113716.667
Butte,81322.22222,102766.6667,88491.66667,111566.6667,122591.6667,139025,159933.3333,192741.6667,236408.3333,280966.6667,299141.6667,280241.6667,244491.6667,227475,208575,189666.6667,189383.3333,206991.6667,222816.6667,232141.6667,250050
Yolo,111688.8889,149333.3333,127691.6667,168533.3333,188816.6667,211883.3333,247608.3333,307466.6667,369025,441050,461716.6667,406975,354141.6667,301833.3333,266258.3333,248400,246783.3333,289700,336766.6667,361116.6667,387641.6667
El Dorado,121088.8889,155191.6667,163008.3333,169550,195550,237450,270775,309908.3333,367325,448208.3333,470775,438791.6667,385916.6667,346333.3333,298683.3333,278450,269141.6667,312150,347883.3333,368366.6667,399150
Shasta,77555.55556,100491.6667,84950,104150,110908.3333,125541.6667,145425,175891.6667,210708.3333,260350,279975,260733.3333,234016.6667,216608.3333,185183.3333,167150,166058.3333,183783.3333,204400,214100,222841.6667
Imperial,75633.33333,94600,82333.33333,99808.33333,108833.3333,117508.3333,128283.3333,141066.6667,164191.6667,213875,254383.3333,244966.6667,205483.3333,149491.6667,121325,118241.6667,123800,131566.6667,148983.3333,162783.3333,181150
Kings,68744.44444,88450,74300,90583.33333,90975,97100,105308.3333,118383.3333,148475,196675,225950,214491.6667,192100,179325,154641.6667,138408.3333,131575,141441.6667,155575,163700,174641.6667
Madera,79677.77778,101283.3333,86266.66667,106191.6667,108908.3333,120825,137841.6667,167850,215741.6667,283358.3333,315316.6667,290891.6667,249383.3333,192566.6667,153991.6667,142291.6667,139466.6667,157058.3333,183316.6667,194225,205391.6667
