Day,Date,Restaurant_Checks,Delivery,Dine_In ,Walk_In,Sale,Delivery_NON_MRP,Dine_In_NON_MRP ,Walk_In_NON_MRP,Net_Sale_Excluding_Tax,Sale_Including_Tax,Gross_Sale ,Cash ,Credit_Card ,Variance_Excess_Short,Delivery_APC,Dine_In_APC,Walk_In_APC
MON,1,65,10,26,29,23690,5045,11343,7302,23690,28296.28,28296.28,25674,2621,-1.28,504.5,436.27,251.79
TUE,2,54,8,28,18,27908,4151,18143,5614,27908,33334.43,33334.43,24416,8914,-4.43,518.88,647.96,311.89
WED,3,70,11,22,37,25742,6151,10404,9187,25742,30747.27,30747.27,24967,5759,-21.27,559.18,472.91,248.3
THU,4,74,7,25,42,22315,3885,8516,9914,22315,26653.93,26653.93,22709,3933,-11.93,555,340.64,236.05
FRI,5,62,7,23,32,20630,2932,8413,9285,20630,24641.3,24641.3,19852,4789,-0.3,418.86,365.78,290.16
SAT,6,77,11,35,31,30213,5157,17090,7966,30213,36087.62,36087.62,31081,4998,-8.62,468.82,488.29,256.97
SUN,7,133,14,62,57,53009,6630,30740,15639,53009,63316.07,63316.07,52542,10739,-35.07,473.57,495.81,274.37
MON,8,63,3,22,38,17893,970,9269,7654,17893,21372.11,21372.11,18858,2493,-21.11,323.33,421.32,201.42
TUE,9,54,4,20,30,16799,1717,8258,6824,16799,20065.4,20065.4,18111,1947,-7.4,429.25,412.9,227.47
WED,10,51,5,25,21,14946,2555,8474,3917,14946,17852.1,17852.1,14137,3701,-14.1,511,338.96,186.52
THU,11,60,7,25,28,20668,3192,9841,7635,20374,24686.69,24392.69,17870,6517,-5.69,456,393.64,272.68
FRI,12,67,10,26,31,23450,3984,10225,9241,23450,28009.62,28009.62,24830,3173,-6.62,398.4,393.27,298.1
SAT,13,81,12,28,41,27937,5419,11729,10789,27937,33369.07,33369.07,32214,1144,-11.07,451.58,418.89,263.15
SUN,14,140,17,53,70,50748,7360,24938,18450,50748,60615.44,60615.44,51534,9052,-29.44,432.94,470.53,263.57
MON,15,59,3,14,42,15346,1317,5991,8038,15346,18329.88,18329.88,14925,3390,-14.88,439,427.93,191.38
TUE,16,67,3,20,44,19301,2184,6640,10477,19301,23053.89,23053.89,21405,1641,-7.89,728,332,238.11
WED,17,50,6,19,25,17075,2789,8052,6234,17075,20395.06,20395.06,16577,3814,-4.06,464.83,423.79,249.36
THU,18,54,4,22,28,15314,1403,7676,6235,15314,18291.65,18291.65,16185,2105,-1.65,350.75,348.91,222.68
FRI,19,48,8,18,22,12384,2761,5645,3978,12384,14791.94,14791.94,14121,664,-6.94,345.13,313.61,180.82
SAT,20,73,11,26,36,28565,6452,11923,10190,28565,34119.18,34119.18,29758.18,4361,0,586.55,458.58,283.06
SUN,21,126,16,44,66,36740,6306,16998,13436,36740,43883.73,43883.73,35211.73,8672,0,394.13,386.32,203.58
MON,22,61,4,23,34,18811,1387,10004,7420,18811,22468.61,22468.61,19031.61,3437,0,346.75,434.96,218.24
TUE,23,53,7,15,31,18991,3369,6927,8695,18991,22683.61,22683.61,21583.61,1100,0,481.29,461.8,280.48
WED,24,59,7,15,37,20333,3070,7113,10150,20333,24286.55,24286.55,19213.55,5073,0,438.57,474.2,274.32
THU,25,83,15,22,46,32535,8313,12678,11544,32535,38861.11,38861.11,38861.11,0,0,554.2,576.27,250.96
FRI,26,56,11,9,36,17968,4757,3783,9428,17968,21461.7,21461.7,18594.7,2867,0,432.45,420.33,261.89
SAT,27,81,11,28,42,27405,4848,12285,10272,27405,32733.63,32733.63,30813.63,1920,0,440.73,438.75,244.57
SUN,28,77,6,39,32,29860,2154,21132,6574,29860,35665.98,35665.98,27323.98,8342,0,359,541.85,205.44
MON,29,75,8,27,40,24565,4363,10344,9858,24565,29341.42,29341.42,23888.42,5453,0,545.38,383.11,246.45
TUE,30,487,8,21,458,22680,4889,9867,7924,22680,27089.9,27089.9,22271.9,4818,0,611.13,469.86,17.3
WED,31,127,24,33,70,46957,13045,15650,18262,46957,56087.32,56087.32,48395.32,7692,0,543.54,474.24,260.89
