Day,Date,Restaurant_Checks,Delivery,Dine_In ,Walk_In,Sale,Delivery_NON_MRP,Dine_In_NON_MRP ,Walk_In_NON_MRP,Net_Sale_Excluding_Tax,Sale_Including_Tax,Gross_Sale ,Cash ,Credit_Card ,Variance_Excess_Short,Delivery_APC,Dine_In_APC,Walk_In_APC
THU,1,263,20,93,150,92457,10910,48526,33021,92457,110434.34,110434.34,94401,15984,-49.34,545.5,521.78,220.14
FRI,2,89,8,25,56,27669,3755,12402,11512,27669,33048.96,33048.96,22337,10701,-10.96,469.38,496.08,205.57
SAT,3,69,4,24,41,21850,1383,9974,10493,21850,26098.51,26098.51,22417,3675,-6.51,345.75,415.58,255.93
SUN,4,90,10,25,55,24766,5153,7788,11825,24766,29581.5,29581.5,24402,5150,-29.5,515.3,311.52,215
MON,5,40,4,7,29,10702,2046,2142,6514,10702,12782.9,12782.9,11480,1299,-3.9,511.5,306,224.62
TUE,6,59,5,22,32,15175,2545,7193,5437,15175,18125.63,18125.63,16703,1407,-15.63,509,326.95,169.91
WED,7,64,15,16,33,19984,8058,6174,5752,19984,23869.69,23869.69,20188,3658,-23.69,537.2,385.88,174.3
THU,8,48,4,13,31,15699,2199,6957,6543,15699,18751.51,18751.51,14017,4720,-14.51,549.75,535.15,211.06
FRI,9,77,7,18,52,22419,2694,8979,10746,22419,26778.15,26778.15,25943,822,-13.15,384.86,498.83,206.65
SAT,10,88,11,33,44,27873,4696,11644,11533,27873,33292.63,33292.63,28124,5146,-22.63,426.91,352.85,262.11
SUN,11,82,16,25,41,19986,5797,7264,6925,19986,23872.08,23872.08,20000,3858,-14.08,362.31,290.56,168.9
MON,12,70,10,25,35,21079,4538,8316,8225,21079,25177.6,25177.6,21634,3538,-5.6,453.8,332.64,235
TUE,13,71,9,26,36,21019,3556,9558,7905,21019,25105.93,25105.93,21028,4073,-4.93,395.11,367.62,219.58
WED,14,80,20,16,44,22633,8190,6435,8008,22633,27033.76,27033.76,22968,4051,-14.76,409.5,402.19,182
THU,15,113,14,36,63,37570,8716,14303,14551,37570,44875.11,44875.11,41676,3165,-34.11,622.57,397.31,230.97
FRI,16,95,8,29,58,31914,3229,16008,12677,31914,38119.36,38119.36,37269,834,-16.36,403.63,552,218.57
SAT,17,116,15,37,64,35269,5318,14383,15568,35269,42126.7,42126.7,31862,10249,-15.7,354.53,388.73,243.25
SUN,18,62,7,21,34,19531,4143,8056,7332,19531,23328.61,23328.61,21098,2213,-17.61,591.86,383.62,215.65
MON,19,69,9,19,41,17485,3304,6824,7357,17485,20884.78,20884.78,19950,919,-15.78,367.11,359.16,179.44
TUE,20,63,3,19,40,21414,1202,5355,8257,21414,25577.74,25577.74,22588,2976,-13.74,400.67,281.84,206.43
WED,21,60,12,15,33,16793,5257,5477,6059,16793,20058.23,20058.23,18858,1185,-15.23,438.08,365.13,183.61
THU,22,47,7,15,25,12411,2549,5340,4522,12411,14824.19,14824.19,13904,917,-3.19,364.14,356,180.88
FRI,23,47,8,15,24,17790,4284,8052,5454,17790,21249.09,21249.09,19707,1532,-10.09,535.5,536.8,227.25
SAT,24,78,9,32,37,23747,3400,13441,6906,23747,28364.37,28364.37,22764,5584,-16.37,377.78,420.03,186.65
SUN,25,76,10,23,43,20806,5206,8289,7311,20806,24851.52,24851.52,21042,3810,0.48,520.6,360.39,170.02
MON,26,75,11,28,36,26206,5361,13267,7578,26206,31301.49,31301.49,24283,7000,-18.49,487.36,473.82,210.5
TUE,27,58,7,22,29,17281,3044,8512,5725,16355,20641.12,19715.12,18481,1234,-0.12,434.86,386.91,197.41
WED,28,74,13,21,40,24669,8865,9091,6713,24669,29465.64,29465.64,23353,6108,-4.64,681.92,432.9,167.83
THU,29,46,6,17,23,13633,2690,5672,5271,13633,16283.8,16283.8,14688,1592,-3.8,448.33,333.65,229.17
FRI,30,69,4,26,39,20412,1641,11425,7346,20412,24380.91,24380.91,19867,4514,0.09,410.25,439.42,188.36
