"","Productid","Productname","Quantity"
"1",5,"Independent Trading Company Hooded Sweatshirt IND4000 - Army S",54
"2",6,"Independent Trading Company Hooded Sweatshirt IND4000 - Army M",44
"3",7,"Independent Trading Company Hooded Sweatshirt IND4000 - Army L",45
"4",8,"Independent Trading Company Hooded Sweatshirt IND4000 - Army XL",42
"5",9,"Independent Trading Company Hooded Sweatshirt IND4000 - Army 2XL",29
"6",10,"Independent Trading Company Hooded Sweatshirt IND4000 - Army 3XL",21
"7",11,"Independent Trading Co. Hooded Sweatshirt  IND4000",0
"8",12,"Independent Trading Company Hooded Sweatshirt IND4000 - Black 3XL",12
"9",13,"Independent Trading Company Hooded Sweatshirt IND4000 - Black 2XL",16
"10",14,"Independent Trading Company Hooded Sweatshirt IND4000 - Black XL",39
"11",15,"Independent Trading Company Hooded Sweatshirt IND4000 - Black L",24
"12",16,"Independent Trading Company Hooded Sweatshirt IND4000 - Black M",97
"13",17,"Independent Trading Company Hooded Sweatshirt IND4000 - Black S",128
"14",20,"Independent Trading Company Hooded Sweatshirt IND4000 - Charcoal Heather 3XL",0
"15",21,"Independent Trading Company Hooded Sweatshirt IND4000 - Charcoal Heather 2XL",21
"16",22,"Independent Trading Company Hooded Sweatshirt IND4000 - Charcoal Heather XL",51
"17",23,"Independent Trading Company Hooded Sweatshirt IND4000 - Charcoal Heather L",34
"18",24,"Independent Trading Company Hooded Sweatshirt IND4000 - Charcoal Heather M",9
"19",25,"Independent Trading Company Hooded Sweatshirt IND4000 - Charcoal Heather S",30
"20",32,"Independent Trading Company Hooded Sweatshirt IND4000 - Grey Heather 3XL",29
"21",33,"Independent Trading Company Hooded Sweatshirt IND4000 - Grey Heather 2XL",28
"22",34,"Independent Trading Company Hooded Sweatshirt IND4000 - Grey Heather XL",36
"23",35,"Independent Trading Company Hooded Sweatshirt IND4000 - Grey Heather L",43
"24",36,"Independent Trading Company Hooded Sweatshirt IND4000 - Grey Heather M",23
"25",37,"Independent Trading Company Hooded Sweatshirt IND4000 - Grey Heather S",51
"26",38,"Independent Trading Company Hooded Sweatshirt IND4000 - Gunmetal Heather 3XL",16
"27",39,"Independent Trading Company Hooded Sweatshirt IND4000 - Gunmetal Heather 2XL",31
"28",40,"Independent Trading Company Hooded Sweatshirt IND4000 - Gunmetal Heather XL",31
"29",41,"Independent Trading Company Hooded Sweatshirt IND4000 - Gunmetal Heather L",53
"30",42,"Independent Trading Company Hooded Sweatshirt IND4000 - Gunmetal Heather M",30
"31",43,"Independent Trading Company Hooded Sweatshirt IND4000 - Gunmetal Heather S",41
"32",44,"Independent Trading Company Hooded Sweatshirt IND4000 - Khaki 3XL",21
"33",45,"Independent Trading Company Hooded Sweatshirt IND4000 - Khaki 2XL",24
"34",46,"Independent Trading Company Hooded Sweatshirt IND4000 - Khaki XL",0
"35",47,"Independent Trading Company Hooded Sweatshirt IND4000 - Khaki L",0
"36",48,"Independent Trading Company Hooded Sweatshirt IND4000 - Khaki M",0
"37",49,"Independent Trading Company Hooded Sweatshirt IND4000 - Khaki S",0
"38",50,"Independent Trading Company Hooded Sweatshirt IND4000 - Maroon 3XL",18
"39",51,"Independent Trading Company Hooded Sweatshirt IND4000 - Maroon 2XL",30
"40",52,"Independent Trading Company Hooded Sweatshirt IND4000 - Maroon XL",36
"41",53,"Independent Trading Company Hooded Sweatshirt IND4000 - Maroon L",23
"42",54,"Independent Trading Company Hooded Sweatshirt IND4000 - Maroon M",22
"43",55,"Independent Trading Company Hooded Sweatshirt IND4000 - Maroon S",31
"44",57,"Independent Trading Company Hooded Sweatshirt IND4000 - Navy 3XL",34
"45",58,"Independent Trading Company Hooded Sweatshirt IND4000 - Navy 2XL",50
"46",59,"Independent Trading Company Hooded Sweatshirt IND4000 - Navy XL",63
"47",60,"Independent Trading Company Hooded Sweatshirt IND4000 - Navy L",51
"48",61,"Independent Trading Company Hooded Sweatshirt IND4000 - Navy M",44
"49",62,"Independent Trading Company Hooded Sweatshirt IND4000 - Navy S",34
"50",63,"Independent Trading Company Hooded Sweatshirt IND4000 - Red 3XL",13
"51",64,"Independent Trading Company Hooded Sweatshirt IND4000 - Red 2XL",62
"52",65,"Independent Trading Company Hooded Sweatshirt IND4000 - Red XL",17
"53",66,"Independent Trading Company Hooded Sweatshirt IND4000 - Red L",26
"54",67,"Independent Trading Company Hooded Sweatshirt IND4000 - Red M",29
"55",68,"Independent Trading Company Hooded Sweatshirt IND4000 - Red S",36
"56",69,"Independent Trading Company Hooded Sweatshirt IND4000 - White 3XL",0
"57",70,"Independent Trading Company Hooded Sweatshirt IND4000 - White 2XL",37
"58",71,"Independent Trading Company Hooded Sweatshirt IND4000 - White XL",45
"59",72,"Independent Trading Company Hooded Sweatshirt IND4000 - White L",34
"60",73,"Independent Trading Company Hooded Sweatshirt IND4000 - White M",33
"61",74,"Independent Trading Company Hooded Sweatshirt IND4000 - White S",50
"62",75,"Independent Trading Co. Full Zip Hooded Sweatshirt IND4000Z",0
