"","text","score"
"7","<U+2764>#Movies #DVD LOT - 8 Clint Eastwood Movies on DVD - 9 Disc Bundle/Set #Hot #Sale https://t.co/mIMSDpE2n7 https://t.co/PZn13218sp",1
"11","#Shoe #Deals: #Adidas #YeezyBoost350 #Yeezy #Boost Turtle Dove size 10 100% authentic https://t.co/bRRnhIs7Vu #Shoes https://t.co/X9atMz8KYx",2
"12","#Top #Shoes: #Adidas #Yeezy #Boost 350 V2 CREAM/TRIPLE WHITE CP9366 SIZE 9 On Hand!! https://t.co/n2JyLlzMiQ #Style https://t.co/h0Hyf7LOIC",2
"13","#Hot #Deals: #Adidas #Yeezy #Boost 350 V2 CP9366, Cream White, Size 12, DS, Sold Out https://t.co/8Dmtklyxhf #Shoes https://t.co/xLfXbDbRRH",2
"18","#Yeezy #Deals: #Adidas Yeezy #Boost 350 v2 Core Black Red CP9652 Size 10.5 https://t.co/53ZTgMUsS6 https://t.co/ZWca7AIv96",1
"19","#Shoes #Buzz: #Adidas #YeezyBoost750 #Yeezy #Boost Chocolate Brown Gum BY2456 Sz 6 https://t.co/9tBxL3xmmm https://t.co/eOrQfmMnG8",1
"20","#Fashion #Shoe: #Adidas #Yeezy #Boost 350 v2 White/White size 12 https://t.co/b1KMtgDPmg #Style https://t.co/DgXqHD1Hg9",1
"22","#Good #Deal: #YeezyBoost350 #Yeezy #Boost V2 ""Cream White' Size 8.5 Men W/Receipt https://t.co/rthh9AmL0P #Shoe https://t.co/90DKhQIZFb",2
"23","<U+2764><U+2764><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>#Racing #Motorsports Action Racing Collectibles Jimmie Johnson 10 Sprint Cup Champion 48 Impala 1 24 #Buy https://t.co/2RKtEeMhte",1
"24","#Yeezy #Shoes: New #Adidas Yeezy #Boost 350 V2 Cream White size 5 SHIP NOW https://t.co/3fbS3HO35u #Style https://t.co/R9rej3uiSj",1
"27","<U+2764><ed><U+00A0><U+00BD><ed><U+00B2><U+009A>#Deals #Baby #Boots Winter Warm Newborn Baby Girls Child Plush Snow Boots Toddler Casual Shoes #BabyBoots…… https://t.co/r20XIux1x0",2
