"","text","score"
"1","RT @PriceAbate: coupons #eBay #deals Buy Now: $130 Vintage STEIFF Blonde Teddy Bear Collectible 1201 ... https://t.co/I0ntYUeABj https://t.…",0
"3","RT @PriceAbate: coupons #eBay #deals Buy Now: $45.95 UV Pro 36 Ultraviolet Sterilizer Aquarium Filter 3... https://t.co/8xyP3dm7d4 https://…",0
"5","RT @PriceAbate: coupons #eBay #deals Buy Now: $130 Vintage STEIFF Blonde Teddy Bear Collectible 1201 ... https://t.co/I0ntYUeABj https://t.…",0
"6","2006 hb The Rangers Miscellany by John White WITH 3 AUTOGRAPHS https://t.co/iPvkiLzQfD #RangersFC https://t.co/7WwYm2DO9U",0
"8","Framed ALLY McCOIST In Rangers Shirt HAND SIGNED Autograph Photo Mount + COA https://t.co/3EswvbLlFL #RangersFC https://t.co/8CVfgUXthV",0
"9","#honolulu #assfuck ebay #darwin #underworld touching #bossbabymoms #boobies adelaide https://t.co/uqjAdiLHPb",0
"14","eBay: JAMES W. RILEY...# 868...10 centS STAMP https://t.co/U0wOZh5hLB #stamps #philately https://t.co/t1UVaRDm79",0
"16","#Sport #eBay 2016 #Nike Air Jordan #Retro III OG 3 White Fire Red True Blue Size 10.5 #Shoes https://t.co/DvBVv7ZqHp",0
"17","#Sale #Shoes #Nike Air Jordan V 5 #Retro OG Black Metallic Silver 845035 003 DS Men Size 7 NEW #RT https://t.co/CB5UfEdAhe",0
"21","<U+26BD><U+26BD><U+26BD>#CR7 Real #Madrid #CristianoRonaldo Third Long Sleeve #Jersey 2016-2017 Size Medium #HalaMadrid…… https://t.co/bmAp9T5lNn",0
"25","L L L #TomCruise #Movies Tom Cruise Action Pack (#DVD, 2004, 4-Disc Set, Widescreen) Sealed https://t.co/O0y4f9X89C https://t.co/ofbBlfnbRl",0
"26","<U+2764><U+2764><U+2764>#Rock #Band #U2 LP, Under A Blood Red Sky, Island 90127, 1983, NM- #Collectibles #Deals https://t.co/ardGiJk89i…… https://t.co/PzGtD40KtE",0
"28","Adidas #Yeezy #Boost 350 V2 Size 10 Black Green with Receipt Worn One Time! https://t.co/k6RvKhWXvD https://t.co/hA4twr985f",0
"34","#Deals #Cameras: #Fujifilm FinePix S Series S4250 14.0 MP #Digital #Camera - Black https://t.co/gO3pU42M6H #Share https://t.co/q0eL2rGg4t",0
"37","L #MLB #Brewers 2016 #Topps MLB Debut Ryan Braun Bronze #Card #MLBD-2 Milwaukee Brewers #Forsale #onsale…… https://t.co/TVPFXAFNlb",0
"39","<U+2764><ed><U+00A0><U+00BD><ed><U+00B2><U+009A>#Entertainment #Buzz Meow! by Katy Perry Eau de #Parfum natural spray 1.0Fl #KatyPerry #Auction…… https://t.co/YEfI05dJMY",0
"40","<U+2764><U+2764>#Car #Garmin Garmin nuvi 2589LMT 5"" GPS Navigation System with Bluetooth Lifetime Maps #Auto #GPS…… https://t.co/QCU9sfXn3M",0
"41","<U+2764>#CelineDion #Buzz 1 CENT CD A New DayLive in Las Vegas [cd + dvd] - Celine Dion #Bestseller #Buy…… https://t.co/zhKw9iErUb",0
